Product ID*;REF PROD;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80163;;Taille:select:0;L:6;3012 L;3012 L;;;;;;0;;;;;;;;;;;
80163;;Taille:select:0;S:4;3012 S;3012 S;;;;;;0;;;;;;;;;;;
80163;;Taille:select:0;XL:7;3012 XL;3012 XL;;;;;;0;;;;;;;;;;;
80163;;Taille:select:0;XS:3;3012 XS;3012 XS;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;L:6;3017 L;3017 L;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;S:4;3017 S;3017 S;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;XL:7;3017 XL;3017 XL;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;XS:3;3017 XS;3017 XS;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;L:6;3061-L;3061-L;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;M:5;3061-M;3061-M;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;S:4;3061-S;3061-S;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;XL:7;3061-XL;3061-XL;;;;;;2;;;;;;;;;;;
80173;;Taille:select:0;XS:3;3061-XS;3061-XS;;;;;;1;;;;;;;;;;;
80174;;Taille:select:0;L:6;3062-L;3062-L;;;;;;1;;;;;;;;;;;
80174;;Taille:select:0;M:5;3062-M;3062-M;;;;;;0;;;;;;;;;;;
80174;;Taille:select:0;S:4;3062-S;3062-S;;;;;;0;;;;;;;;;;;
80174;;Taille:select:0;XL:7;3062-XL;3062-XL;;;;;;0;;;;;;;;;;;
80174;;Taille:select:0;XS:3;3062-XS;3062-XS;;;;;;4;;;;;;;;;;;
80175;;Taille:select:0;L:6;3063-L;3063-L;;;;;;4;;;;;;;;;;;
80175;;Taille:select:0;M:5;3063-M;3063-M;;;;;;0;;;;;;;;;;;
80175;;Taille:select:0;S:4;3063-S;3063-S;;;;;;0;;;;;;;;;;;
80175;;Taille:select:0;XL:7;3063-XL;3063-XL;;;;;;1;;;;;;;;;;;
80175;;Taille:select:0;XS:3;3063-XS;3063-XS;;;;;;0;;;;;;;;;;;
80176;;Taille:select:0;L:6;3064-L;3064-L;;;;;;1;;;;;;;;;;;
80176;;Taille:select:0;M:5;3064-M;3064-M;;;;;;0;;;;;;;;;;;
80176;;Taille:select:0;S:4;3064-S;3064-S;;;;;;4;;;;;;;;;;;
80176;;Taille:select:0;XL:7;3064-XL;3064-XL;;;;;;0;;;;;;;;;;;
80176;;Taille:select:0;XS:3;3064-XS;3064-XS;;;;;;0;;;;;;;;;;;
80177;;Taille:select:0;L:6;3067-L;3067-L;;;;;;1;;;;;;;;;;;
80177;;Taille:select:0;M:5;3067-M;3067-M;;;;;;2;;;;;;;;;;;
80177;;Taille:select:0;S:4;3067-S;3067-S;;;;;;0;;;;;;;;;;;
80177;;Taille:select:0;XL:7;3067-XL;3067-XL;;;;;;0;;;;;;;;;;;
80177;;Taille:select:0;XS:3;3067-XS;3067-XS;;;;;;1;;;;;;;;;;;
80178;;Taille:select:0;XXL:8;3068-2XL;3068-2XL;;;;;;2;;;;;;;;;;;
80178;;Taille:select:0;L:6;3068-L;3068-L;;;;;;3;;;;;;;;;;;
80178;;Taille:select:0;M:5;3068-M;3068-M;;;;;;4;;;;;;;;;;;
80178;;Taille:select:0;S:4;3068-S;3068-S;;;;;;0;;;;;;;;;;;
80178;;Taille:select:0;XL:7;3068-XL;3068-XL;;;;;;0;;;;;;;;;;;
80178;;Taille:select:0;XS:3;3068-XS;3068-XS;;;;;;0;;;;;;;;;;;
80180;;Taille:select:0;2XS:2;3812-2XS;3812-2XS;;;;;;2;;;;;;;;;;;
80180;;Taille:select:0;3XS:1;3812-3XS;3812-3XS;;;;;;3;;;;;;;;;;;
80180;;Taille:select:0;XS:3;3812-XS;3812-XS;;;;;;2;;;;;;;;;;;
80181;;Taille:select:0;2XS:2;3817-2XS;3817-2XS;;;;;;1;;;;;;;;;;;
80181;;Taille:select:0;3XS:1;3817-3XS;3817-3XS;;;;;;1;;;;;;;;;;;
80181;;Taille:select:0;XS:3;3817-XS;3817-XS;;;;;;0;;;;;;;;;;;
80182;;Taille:select:0;2XS:2;3818-2XS;3818-2XS;;;;;;0;;;;;;;;;;;
80182;;Taille:select:0;3XS:1;3818-3XS;3818-3XS;;;;;;1;;;;;;;;;;;
80182;;Taille:select:0;XS:3;3818-XS;3818-XS;;;;;;1;;;;;;;;;;;
80263;;Taille:select:0;L:6;40102-L;40102-L;;;;;;1;;;;;;;;;;;
80263;;Taille:select:0;M:5;40102-M;40102-M;;;;;;0;;;;;;;;;;;
80263;;Taille:select:0;S:4;40102-S;40102-S;;;;;;2;;;;;;;;;;;
80263;;Taille:select:0;XL:7;40102-XL;40102-XL;;;;;;1;;;;;;;;;;;
80338;;Taille:select:0;L:6;40105 001 L;40105 001 L;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;M:5;40105 001 M;40105 001 M;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;S:4;40105 001 S;40105 001 S;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;XL:7;40105 001 XL;40105 001 XL;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;XS:3;40105 001 XS;40105 001 XS;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;XXL:8;40107 2XL;40107 2XL;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;L:6;40107 L;40107 L;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;S:4;40107 S;40107 S;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;XS:3;40107 XS;40107 XS;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XXL:8;40125 600 2XL;40125 600 2XL;;;;;;1;;;;;;;;;;;
80339;;Taille:select:0;L:6;40125 600 L;40125 600 L;;;;;;4;;;;;;;;;;;
80339;;Taille:select:0;M:5;40125 600 M;40125 600 M;;;;;;3;;;;;;;;;;;
80339;;Taille:select:0;S:4;40125 600 S;40125 600 S;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XL:7;40125 600 XL;40125 600 XL;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XS:3;40125 600 XS;40125 600 XS;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XXL:8;40126 600 2XL;40126 600 2XL;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;L:6;40126 600 L;40126 600 L;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;M:5;40126 600 M;40126 600 M;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;S:4;40126 600 S;40126 600 S;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XL:7;40126 600 XL;40126 600 XL;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XS:3;40126 600 XS;40126 600 XS;;;;;;0;;;;;;;;;;;
80342;;Taille:select:0;XXL:8;40129 069 2XL;40129 069 2XL;;;;;;1;;;;;;;;;;;
80342;;Taille:select:0;L:6;40129 069 L;40129 069 L;;;;;;1;;;;;;;;;;;
80342;;Taille:select:0;S:4;40129 069 S;40129 069 S;;;;;;1;;;;;;;;;;;
80342;;Taille:select:0;XL:7;40129 069 XL;40129 069 XL;;;;;;1;;;;;;;;;;;
80272;;Taille:select:0;XXL:8;40140-2XL;40140-2XL;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;L:6;40140-L;40140-L;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;M:5;40140-M;40140-M;;;;;;1;;;;;;;;;;;
80272;;Taille:select:0;S:4;40140-S;40140-S;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;XL:7;40140-XL;40140-XL;;;;;;0;;;;;;;;;;;
80272;;Taille:select:0;XS:3;40140-XS;40140-XS;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;XXL:8;40141-2XL;40141-2XL;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;L:6;40141-L;40141-L;;;;;;1;;;;;;;;;;;
80273;;Taille:select:0;M:5;40141-M;40141-M;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;S:4;40141-S;40141-S;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;XL:7;40141-XL;40141-XL;;;;;;0;;;;;;;;;;;
80273;;Taille:select:0;XS:3;40141-XS;40141-XS;;;;;;0;;;;;;;;;;;
80277;;Taille:select:0;L:6;40181-L;40181-L;;;;;;4;;;;;;;;;;;
80277;;Taille:select:0;M:5;40181-M;40181-M;;;;;;0;;;;;;;;;;;
80277;;Taille:select:0;XL:7;40181-XL;40181-XL;;;;;;4;;;;;;;;;;;
80278;;Taille:select:0;L:6;40183-L;40183-L;;;;;;0;;;;;;;;;;;
80278;;Taille:select:0;M:5;40183-M;40183-M;;;;;;0;;;;;;;;;;;
80278;;Taille:select:0;S:4;40183-S;40183-S;;;;;;1;;;;;;;;;;;
80278;;Taille:select:0;XL:7;40183-XL;40183-XL;;;;;;2;;;;;;;;;;;
80278;;Taille:select:0;XS:3;40183-XS;40183-XS;;;;;;0;;;;;;;;;;;
80279;;Taille:select:0;L:6;40184-L;40184-L;;;;;;3;;;;;;;;;;;
80279;;Taille:select:0;M:5;40184-M;40184-M;;;;;;3;;;;;;;;;;;
80279;;Taille:select:0;S:4;40184-S;40184-S;;;;;;3;;;;;;;;;;;
80279;;Taille:select:0;XL:7;40184-XL;40184-XL;;;;;;2;;;;;;;;;;;
80279;;Taille:select:0;XS:3;40184-XS;40184-XS;;;;;;0;;;;;;;;;;;
80281;;Taille:select:0;L:6;40188-L;40188-L;;;;;;1;;;;;;;;;;;
80281;;Taille:select:0;M:5;40188-M;40188-M;;;;;;0;;;;;;;;;;;
80281;;Taille:select:0;S:4;40188-S;40188-S;;;;;;0;;;;;;;;;;;
80281;;Taille:select:0;XL:7;40188-XL;40188-XL;;;;;;0;;;;;;;;;;;
80281;;Taille:select:0;XS:3;40188-XS;40188-XS;;;;;;0;;;;;;;;;;;
80282;;Taille:select:0;L:6;40189-L;40189-L;;;;;;0;;;;;;;;;;;
80282;;Taille:select:0;M:5;40189-M;40189-M;;;;;;0;;;;;;;;;;;
80282;;Taille:select:0;S:4;40189-S;40189-S;;;;;;0;;;;;;;;;;;
80282;;Taille:select:0;XL:7;40189-XL;40189-XL;;;;;;1;;;;;;;;;;;
80282;;Taille:select:0;XS:3;40189-XS;40189-XS;;;;;;0;;;;;;;;;;;
80283;;Taille:select:0;L:6;40190-L;40190-L;;;;;;0;;;;;;;;;;;
80283;;Taille:select:0;M:5;40190-M;40190-M;;;;;;0;;;;;;;;;;;
80283;;Taille:select:0;S:4;40190-S;40190-S;;;;;;0;;;;;;;;;;;
80283;;Taille:select:0;XL:7;40190-XL;40190-XL;;;;;;0;;;;;;;;;;;
80283;;Taille:select:0;XS:3;40190-XS;40190-XS;;;;;;0;;;;;;;;;;;
80284;;Taille:select:0;L:6;40191-L;40191-L;;;;;;0;;;;;;;;;;;
80284;;Taille:select:0;M:5;40191-M;40191-M;;;;;;0;;;;;;;;;;;
80284;;Taille:select:0;XL:7;40191-XL;40191-XL;;;;;;0;;;;;;;;;;;
80285;;Taille:select:0;L:6;40192-L;40192-L;;;;;;0;;;;;;;;;;;
80285;;Taille:select:0;M:5;40192-M;40192-M;;;;;;1;;;;;;;;;;;
80285;;Taille:select:0;S:4;40192-S;40192-S;;;;;;2;;;;;;;;;;;
80285;;Taille:select:0;XL:7;40192-XL;40192-XL;;;;;;0;;;;;;;;;;;
80285;;Taille:select:0;XS:3;40192-XS;40192-XS;;;;;;0;;;;;;;;;;;
80286;;Taille:select:0;L:6;40193-L;40193-L;;;;;;1;;;;;;;;;;;
80286;;Taille:select:0;M:5;40193-M;40193-M;;;;;;1;;;;;;;;;;;
80286;;Taille:select:0;S:4;40193-S;40193-S;;;;;;1;;;;;;;;;;;
80286;;Taille:select:0;XL:7;40193-XL;40193-XL;;;;;;0;;;;;;;;;;;
80286;;Taille:select:0;XS:3;40193-XS;40193-XS;;;;;;0;;;;;;;;;;;
80287;;Taille:select:0;L:6;40194-L;40194-L;;;;;;1;;;;;;;;;;;
80287;;Taille:select:0;M:5;40194-M;40194-M;;;;;;1;;;;;;;;;;;
80287;;Taille:select:0;S:4;40194-S;40194-S;;;;;;0;;;;;;;;;;;
80287;;Taille:select:0;XL:7;40194-XL;40194-XL;;;;;;0;;;;;;;;;;;
80287;;Taille:select:0;XS:3;40194-XS;40194-XS;;;;;;0;;;;;;;;;;;
80288;;Taille:select:0;L:6;40195-L;40195-L;;;;;;0;;;;;;;;;;;
80288;;Taille:select:0;M:5;40195-M;40195-M;;;;;;0;;;;;;;;;;;
80288;;Taille:select:0;S:4;40195-S;40195-S;;;;;;0;;;;;;;;;;;
80288;;Taille:select:0;XL:7;40195-XL;40195-XL;;;;;;1;;;;;;;;;;;
80288;;Taille:select:0;XS:3;40195-XS;40195-XS;;;;;;1;;;;;;;;;;;
80289;;Taille:select:0;L:6;40199-L;40199-L;;;;;;0;;;;;;;;;;;
80289;;Taille:select:0;M:5;40199-M;40199-M;;;;;;0;;;;;;;;;;;
80289;;Taille:select:0;S:4;40199-S;40199-S;;;;;;0;;;;;;;;;;;
80289;;Taille:select:0;XL:7;40199-XL;40199-XL;;;;;;0;;;;;;;;;;;
80289;;Taille:select:0;XS:3;40199-XS;40199-XS;;;;;;0;;;;;;;;;;;
80298;;Taille:select:0;M:5;40246-M;40246-M;;;;;;0;;;;;;;;;;;
80298;;Taille:select:0;S:4;40246-S;40246-S;;;;;;0;;;;;;;;;;;
80298;;Taille:select:0;XS:3;40246-XS;40246-XS;;;;;;0;;;;;;;;;;;
80343;;Taille:select:0;XXL:8;40310 990 2XL;40310 990 2XL;;;;;;0;;;;;;;;;;;
80343;;Taille:select:0;L:6;40310 990 L;40310 990 L;;;;;;0;;;;;;;;;;;
80343;;Taille:select:0;M:5;40310 990 M;40310 990 M;;;;;;0;;;;;;;;;;;
80343;;Taille:select:0;S:4;40310 990 S;40310 990 S;;;;;;0;;;;;;;;;;;
80343;;Taille:select:0;XL:7;40310 990 XL;40310 990 XL;;;;;;0;;;;;;;;;;;
80343;;Taille:select:0;XS:3;40310 990 XS;40310 990 XS;;;;;;0;;;;;;;;;;;
80304;;Taille:select:0;L:6;40401-L;40401-L;;;;;;1;;;;;;;;;;;
80304;;Taille:select:0;XL:7;40401-XL;40401-XL;;;;;;2;;;;;;;;;;;
80304;;Taille:select:0;XS:3;40401-XS;40401-XS;;;;;;1;;;;;;;;;;;
80306;;Taille:select:0;L:6;41128-L;41128-L;;;;;;1;;;;;;;;;;;
80306;;Taille:select:0;M:5;41128-M;41128-M;;;;;;0;;;;;;;;;;;
80306;;Taille:select:0;S:4;41128-S;41128-S;;;;;;0;;;;;;;;;;;
80306;;Taille:select:0;XL:7;41128-XL;41128-XL;;;;;;0;;;;;;;;;;;
80306;;Taille:select:0;XS:3;41128-XS;41128-XS;;;;;;0;;;;;;;;;;;
80307;;Taille:select:0;L:6;41129-L;41129-L;;;;;;0;;;;;;;;;;;
80307;;Taille:select:0;M:5;41129-M;41129-M;;;;;;0;;;;;;;;;;;
80307;;Taille:select:0;S:4;41129-S;41129-S;;;;;;0;;;;;;;;;;;
80307;;Taille:select:0;XL:7;41129-XL;41129-XL;;;;;;0;;;;;;;;;;;
80307;;Taille:select:0;XS:3;41129-XS;41129-XS;;;;;;0;;;;;;;;;;;
80308;;Taille:select:0;L:6;41130-L;41130-L;;;;;;1;;;;;;;;;;;
80308;;Taille:select:0;M:5;41130-M;41130-M;;;;;;0;;;;;;;;;;;
80308;;Taille:select:0;S:4;41130-S;41130-S;;;;;;0;;;;;;;;;;;
80308;;Taille:select:0;XL:7;41130-XL;41130-XL;;;;;;0;;;;;;;;;;;
80308;;Taille:select:0;XS:3;41130-XS;41130-XS;;;;;;0;;;;;;;;;;;
80309;;Taille:select:0;L:6;41131-L;41131-L;;;;;;1;;;;;;;;;;;
80309;;Taille:select:0;M:5;41131-M;41131-M;;;;;;2;;;;;;;;;;;
80309;;Taille:select:0;S:4;41131-S;41131-S;;;;;;0;;;;;;;;;;;
80309;;Taille:select:0;XL:7;41131-XL;41131-XL;;;;;;0;;;;;;;;;;;
80309;;Taille:select:0;XS:3;41131-XS;41131-XS;;;;;;0;;;;;;;;;;;
80310;;Taille:select:0;L:6;41132-L;41132-L;;;;;;1;;;;;;;;;;;
80310;;Taille:select:0;M:5;41132-M;41132-M;;;;;;1;;;;;;;;;;;
80310;;Taille:select:0;S:4;41132-S;41132-S;;;;;;0;;;;;;;;;;;
80310;;Taille:select:0;XL:7;41132-XL;41132-XL;;;;;;1;;;;;;;;;;;
80310;;Taille:select:0;XS:3;41132-XS;41132-XS;;;;;;0;;;;;;;;;;;
80183;;Taille:select:0;L:6;4309-L;4309-L;;;;;;0;;;;;;;;;;;
80183;;Taille:select:0;M:5;4309-M;4309-M;;;;;;0;;;;;;;;;;;
80183;;Taille:select:0;S:4;4309-S;4309-S;;;;;;0;;;;;;;;;;;
80183;;Taille:select:0;XL:7;4309-XL;4309-XL;;;;;;0;;;;;;;;;;;
80183;;Taille:select:0;XS:3;4309-XS;4309-XS;;;;;;0;;;;;;;;;;;
80184;;Taille:select:0;L:6;4313-L;4313-L;;;;;;0;;;;;;;;;;;
80184;;Taille:select:0;M:5;4313-M;4313-M;;;;;;0;;;;;;;;;;;
80184;;Taille:select:0;S:4;4313-S;4313-S;;;;;;0;;;;;;;;;;;
80184;;Taille:select:0;XL:7;4313-XL;4313-XL;;;;;;0;;;;;;;;;;;
80184;;Taille:select:0;XS:3;4313-XS;4313-XS;;;;;;0;;;;;;;;;;;
80185;;Taille:select:0;L:6;4316-L;4316-L;;;;;;0;;;;;;;;;;;
80185;;Taille:select:0;M:5;4316-M;4316-M;;;;;;0;;;;;;;;;;;
80185;;Taille:select:0;S:4;4316-S;4316-S;;;;;;0;;;;;;;;;;;
80185;;Taille:select:0;XL:7;4316-XL;4316-XL;;;;;;0;;;;;;;;;;;
80185;;Taille:select:0;XS:3;4316-XS;4316-XS;;;;;;0;;;;;;;;;;;
80186;;Taille:select:0;L:6;4322-L;4322-L;;;;;;0;;;;;;;;;;;
80186;;Taille:select:0;M:5;4322-M;4322-M;;;;;;0;;;;;;;;;;;
80186;;Taille:select:0;S:4;4322-S;4322-S;;;;;;0;;;;;;;;;;;
80186;;Taille:select:0;XL:7;4322-XL;4322-XL;;;;;;0;;;;;;;;;;;
80186;;Taille:select:0;XS:3;4322-XS;4322-XS;;;;;;0;;;;;;;;;;;
80187;;Taille:select:0;L:6;4324-L;4324-L;;;;;;0;;;;;;;;;;;
80187;;Taille:select:0;M:5;4324-M;4324-M;;;;;;0;;;;;;;;;;;
80187;;Taille:select:0;S:4;4324-S;4324-S;;;;;;0;;;;;;;;;;;
80187;;Taille:select:0;XL:7;4324-XL;4324-XL;;;;;;0;;;;;;;;;;;
80187;;Taille:select:0;XS:3;4324-XS;4324-XS;;;;;;0;;;;;;;;;;;
80195;;Taille:select:0;L:6;4426-L;4426-L;;;;;;0;;;;;;;;;;;
80195;;Taille:select:0;M:5;4426-M;4426-M;;;;;;0;;;;;;;;;;;
80195;;Taille:select:0;S:4;4426-S;4426-S;;;;;;0;;;;;;;;;;;
80195;;Taille:select:0;XL:7;4426-XL;4426-XL;;;;;;0;;;;;;;;;;;
80195;;Taille:select:0;XS:3;4426-XS;4426-XS;;;;;;0;;;;;;;;;;;
80203;;Taille:select:0;L:6;4461-L;4461-L;;;;;;0;;;;;;;;;;;
80203;;Taille:select:0;M:5;4461-M;4461-M;;;;;;0;;;;;;;;;;;
80203;;Taille:select:0;S:4;4461-S;4461-S;;;;;;1;;;;;;;;;;;
80203;;Taille:select:0;XL:7;4461-XL;4461-XL;;;;;;1;;;;;;;;;;;
80203;;Taille:select:0;XS:3;4461-XS;4461-XS;;;;;;0;;;;;;;;;;;
80204;;Taille:select:0;L:6;4462-L;4462-L;;;;;;0;;;;;;;;;;;
80204;;Taille:select:0;M:5;4462-M;4462-M;;;;;;0;;;;;;;;;;;
80204;;Taille:select:0;S:4;4462-S;4462-S;;;;;;0;;;;;;;;;;;
80204;;Taille:select:0;XL:7;4462-XL;4462-XL;;;;;;3;;;;;;;;;;;
80204;;Taille:select:0;XS:3;4462-XS;4462-XS;;;;;;0;;;;;;;;;;;
80205;;Taille:select:0;L:6;4463-L;4463-L;;;;;;0;;;;;;;;;;;
80205;;Taille:select:0;M:5;4463-M;4463-M;;;;;;0;;;;;;;;;;;
80205;;Taille:select:0;S:4;4463-S;4463-S;;;;;;0;;;;;;;;;;;
80205;;Taille:select:0;XL:7;4463-XL;4463-XL;;;;;;1;;;;;;;;;;;
80205;;Taille:select:0;XS:3;4463-XS;4463-XS;;;;;;0;;;;;;;;;;;
80206;;Taille:select:0;L:6;4464-L;4464-L;;;;;;2;;;;;;;;;;;
80206;;Taille:select:0;M:5;4464-M;4464-M;;;;;;0;;;;;;;;;;;
80206;;Taille:select:0;S:4;4464-S;4464-S;;;;;;0;;;;;;;;;;;
80206;;Taille:select:0;XL:7;4464-XL;4464-XL;;;;;;1;;;;;;;;;;;
80206;;Taille:select:0;XS:3;4464-XS;4464-XS;;;;;;2;;;;;;;;;;;
80207;;Taille:select:0;L:6;4465-L;4465-L;;;;;;1;;;;;;;;;;;
80207;;Taille:select:0;M:5;4465-M;4465-M;;;;;;0;;;;;;;;;;;
80207;;Taille:select:0;S:4;4465-S;4465-S;;;;;;3;;;;;;;;;;;
80207;;Taille:select:0;XL:7;4465-XL;4465-XL;;;;;;0;;;;;;;;;;;
80207;;Taille:select:0;XS:3;4465-XS;4465-XS;;;;;;1;;;;;;;;;;;
80208;;Taille:select:0;XXL:8;4468-2XL;4468-2XL;;;;;;1;;;;;;;;;;;
80208;;Taille:select:0;L:6;4468-L;4468-L;;;;;;0;;;;;;;;;;;
80208;;Taille:select:0;M:5;4468-M;4468-M;;;;;;0;;;;;;;;;;;
80208;;Taille:select:0;S:4;4468-S;4468-S;;;;;;0;;;;;;;;;;;
80208;;Taille:select:0;XL:7;4468-XL;4468-XL;;;;;;2;;;;;;;;;;;
80208;;Taille:select:0;XS:3;4468-XS;4468-XS;;;;;;1;;;;;;;;;;;
80209;;Taille:select:0;L:6;4707-L;4707-L;;;;;;0;;;;;;;;;;;
80209;;Taille:select:0;M:5;4707-M;4707-M;;;;;;0;;;;;;;;;;;
80209;;Taille:select:0;S:4;4707-S;4707-S;;;;;;0;;;;;;;;;;;
80209;;Taille:select:0;XL:7;4707-XL;4707-XL;;;;;;0;;;;;;;;;;;
80209;;Taille:select:0;XS:3;4707-XS;4707-XS;;;;;;0;;;;;;;;;;;
80213;;Taille:select:0;XXL:8;4716 2XL;4716 2XL;;;;;;0;;;;;;;;;;;
80213;;Taille:select:0;M:5;4716 M;4716 M;;;;;;0;;;;;;;;;;;
80213;;Taille:select:0;S:4;4716 S;4716 S;;;;;;0;;;;;;;;;;;
80213;;Taille:select:0;XL:7;4716 XL;4716 XL;;;;;;0;;;;;;;;;;;
80213;;Taille:select:0;XS:3;4716 XS;4716 XS;;;;;;0;;;;;;;;;;;
80219;;Taille:select:0;L:6;4743-L;4743-L;;;;;;0;;;;;;;;;;;
80219;;Taille:select:0;M:5;4743-M;4743-M;;;;;;0;;;;;;;;;;;
80219;;Taille:select:0;S:4;4743-S;4743-S;;;;;;0;;;;;;;;;;;
80219;;Taille:select:0;XL:7;4743-XL;4743-XL;;;;;;0;;;;;;;;;;;
80219;;Taille:select:0;XS:3;4743-XS;4743-XS;;;;;;0;;;;;;;;;;;
80220;;Taille:select:0;M:5;4744-M;4744-M;;;;;;0;;;;;;;;;;;
80220;;Taille:select:0;S:4;4744-S;4744-S;;;;;;0;;;;;;;;;;;
80220;;Taille:select:0;XS:3;4744-XS;4744-XS;;;;;;0;;;;;;;;;;;
80221;;Taille:select:0;M:5;4745-M;4745-M;;;;;;0;;;;;;;;;;;
80221;;Taille:select:0;S:4;4745-S;4745-S;;;;;;0;;;;;;;;;;;
80221;;Taille:select:0;XL:7;4745-XL;4745-XL;;;;;;0;;;;;;;;;;;
