ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image_URLs_(x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
83588;;MGD FF358 Sterling - rosa;;;;;;;;;;MGD 3111102-12;;;;;;;;;;;;;;;;;Integralhelm aus Polycarbonat mit AirGo Pumpsystems für eine bestmögliche Passform;"<br><p><strong>Aussenschale</p></strong><ul><li>Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S); anti-fog Visier</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares Belüftungs- und Entlüftungssystem mit Lufteinlässen vorne und Luftabzug hinten</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>";;;;;;;;;;;;;;;;;;;;;;;;
83589;;MGD FF397 Vector Solid - matt schwarz;;;;;;;;;;MGD 3160100-11;;;;;;;;;;;;;;;;;Technisch innovativer, äusserst leichter Integralhelm aus Tri-Composite Fiberglas HPFC (High Performance Fiberglas Composite) mit integrierter Sonnenblende. Die ausgezeichnete Passform garantiert höchsten Komfort und die 3 Aussenenschalengrössen ermöglichen ein maximales Grössenspektrum.;"<br><p><strong>FF397</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschalen aus Tricomp HPFC (High Performance Fiberglas Composite)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S); inkl. Fog Fighter Anti-Beschlagsscheibe</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares, effizientes Belüftungs- und Entlüftungssystem mit regulierbaren Lufteinlässen vorne und Luftabzug hinten</li></ul>";;;;;;;;;;;;;;;;;;;;;;;;
83590;;MGD FF397 Vector Vantage - neon gelb;;;;;;;;;;MGD 3160130-14;;;;;;;;;;;;;;;;;Technisch innovativer, äusserst leichter Integralhelm aus Tri-Composite Fiberglas HPFC (High Performance Fiberglas Composite) mit integrierter Sonnenblende. Die ausgezeichnete Passform garantiert höchsten Komfort und die 3 Aussenenschalengrössen ermöglichen ein maximales Grössenspektrum.;"<br><p><strong>FF397</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschalen aus Tricomp HPFC (High Performance Fiberglas Composite)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S); inkl. Fog Fighter Anti-Beschlagsscheibe</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares, effizientes Belüftungs- und Entlüftungssystem mit regulierbaren Lufteinlässen vorne und Luftabzug hinten</li></ul>";;;;;;;;;;;;;;;;;;;;;;;;
83591;;MGD FF397 Vector Vantage - rot;;;;;;;;;;MGD 3160130-2;;;;;;;;;;;;;;;;;Technisch innovativer, äusserst leichter Integralhelm aus Tri-Composite Fiberglas HPFC (High Performance Fiberglas Composite) mit integrierter Sonnenblende. Die ausgezeichnete Passform garantiert höchsten Komfort und die 3 Aussenenschalengrössen ermöglichen ein maximales Grössenspektrum.;"<br><p><strong>FF397</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschalen aus Tricomp HPFC (High Performance Fiberglas Composite)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S); inkl. Fog Fighter Anti-Beschlagsscheibe</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares, effizientes Belüftungs- und Entlüftungssystem mit regulierbaren Lufteinlässen vorne und Luftabzug hinten</li></ul>";;;;;;;;;;;;;;;;;;;;;;;;
83592;;MGD OF521 Infinity Solid - matt schwarz;;;;;;;;;;MGD 3165100-11;;;;;;;;;;;;;;;;;Der technisch fortschrittliche, moderne OF521 Infinity bietet Dir das einmalige Freiheitsgefühl, welches Du nur beim Töfffahren fühlst. Dieser Jethelm bietet Dir alles und noch mehr und ist aufgrund seines geringen Gewichts auch für längere Touren geeignet.;<br><p><strong>OF521 Infinity Solid - matt schwarzund Entlüftungssystem mit regulierbaren Lufteinlässen oben und Luftabzug hinten</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83593;;MGD OF521 Infinity Solid - weiss;;;;;;;;;;MGD 3165100-10;;;;;;;;;;;;;;;;;Der technisch fortschrittliche, moderne OF521 Infinity bietet Dir das einmalige Freiheitsgefühl, welches Du nur beim Töfffahren fühlst. Dieser Jethelm bietet Dir alles und noch mehr und ist aufgrund seines geringen Gewichts auch für längere Touren geeignet.;<br><p><strong>OF521 Infinity Solid - weissund Entlüftungssystem mit regulierbaren Lufteinlässen oben und Luftabzug hinten</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83594;;MGD OF560 College - schwarz;;;;;;;;;;MGD 3115402-1;;;;;;;;;;;;;;;;;Ein kleiner Hingucker - praktisch, stylisch und passt zudem unter die meisten Roller-Sitzbänke;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>integrierte Sonnenblende</li></ul><br><p><strong>Belüftung</p></strong><ul><li></li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83595;;MGD OF560 Rocket II Solid - matt schwarz;;;;;;;;;;MGD 3115300-11;;;;;;;;;;;;;;;;;Ein kleiner Hingucker - praktisch, stylisch und passt zudem unter die meisten Roller-Sitzbänke;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>integrierte Sonnenblende</li></ul><br><p><strong>Belüftung</p></strong><ul><li></li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83596;;MGD OF560 Team - weiss;;;;;;;;;;MGD 3115403-10;;;;;;;;;;;;;;;;;Ein kleiner Hingucker - praktisch, stylisch und passt zudem unter die meisten Roller-Sitzbänke;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>integrierte Sonnenblende</li></ul><br><p><strong>Belüftung</p></strong><ul><li></li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83597;;MGD OF561 Dinoco - schwarz;;;;;;;;;;MGD 3135201-1;;;;;;;;;;;;;;;;;Ein kleiner Hingucker - praktisch, stylisch und passt zudem unter die meisten Roller-Sitzbänke;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>integrierte Sonnenblende</li></ul><br><p><strong>Belüftung</p></strong><ul><li></li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83598;;MGD OF561 Wave Beat - pink;;;;;;;;;;MGD 3165200-20;;;;;;;;;;;;;;;;;Ein kleiner Hingucker - praktisch, stylisch und passt zudem unter die meisten Roller-Sitzbänke;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>integrierte Sonnenblende</li></ul><br><p><strong>Belüftung</p></strong><ul><li></li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83599;;MGD OF561 Wave Solid - matt schwarz;;;;;;;;;;MGD 3135200-11;;;;;;;;;;;;;;;;;Ein kleiner Hingucker - praktisch, stylisch und passt zudem unter die meisten Roller-Sitzbänke;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>integrierte Sonnenblende</li></ul><br><p><strong>Belüftung</p></strong><ul><li></li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83600;;MGD OF569 Track solid - matt schwarz;;;;;;;;;;MGD 3115100-11;;;;;;;;;;;;;;;;;Sehr komfortabler, kompakter Jethelm mit integrierter Sonnenblende;<br><p><strong>Aussenschale</p></strong><ul><li>Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83601;;MGD OF569 Track solid - weiss;;;;;;;;;;MGD 3115100-10;;;;;;;;;;;;;;;;;Sehr komfortabler, kompakter Jethelm mit integrierter Sonnenblende;<br><p><strong>Aussenschale</p></strong><ul><li>Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83602;;MGD OF583 Bobber Kurt - grün matt;;;;;;;;;;MGD 3155030-15;;;;;;;;;;;;;;;;;Trendiger Vintagehelm und dank 3 Aussenschalengrössen äusserst stylisch. Dieser Helm wird mit Brille und Helmdach ausgeliefert;<br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschalen aus Fiberglas</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83603;;MGD OF583 Bobber Solid - matt schwarz;;;;;;;;;;MGD 3155035-11;;;;;;;;;;;;;;;;;Trendiger Vintagehelm und dank 3 Aussenschalengrössen äusserst stylisch. Dieser Helm wird mit Brille und Helmdach ausgeliefert;<br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschalen aus Fiberglas</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83604;;MGD OF586 Bishop Solid - matt schwarz;;;;;;;;;;MGD 3145000-11;;;;;;;;;;;;;;;;;"Klein aber frein - kompakter Jethelm mit integrierter Sonnenblende; als Option auch mit kleinem Helmdach";<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Belüftung</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter </li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83605;;MGD OF597 Cabrio Carbon - carbon;;;;;;;;;;MGD 3155040-29;;;;;;;;;;;;;;;;;Sehr leichter Jethelm aus Carbon Fiber mit integrierter Sonnenblende. Dank modernster Fertigungsweise nur ca. 900 g leicht;<br><p><strong>OF597 Cabrio Carbon - carbon</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschale aus Carbon-Fiber</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83606;;MGD OF597 Cabrio Via - neon gelb;;;;;;;;;;MGD 3165040-14;;;;;;;;;;;;;;;;;Sehr leichter Jethelm aus Carbon Fiber mit integrierter Sonnenblende. Dank modernster Fertigungsweise nur ca. 900 g leicht;<br><p><strong>OF597 Cabrio Via - neon gelb</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschale aus Carbon-Fiber</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83607;;MGD OF597 Cabrio Via - orange;;;;;;;;;;MGD 3165040-8;;;;;;;;;;;;;;;;;Sehr leichter Jethelm aus Carbon Fiber mit integrierter Sonnenblende. Dank modernster Fertigungsweise nur ca. 900 g leicht;<br><p><strong>OF597 Cabrio Via - orange</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschale aus Carbon-Fiber</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83608;;MGD OF597 Cabrio Via - titan/gun;;;;;;;;;;MGD 3165040-26;;;;;;;;;;;;;;;;;Sehr leichter Jethelm aus Carbon Fiber mit integrierter Sonnenblende. Dank modernster Fertigungsweise nur ca. 900 g leicht;<br><p><strong>OF597 Cabrio Via - titan/gun</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschale aus Carbon-Fiber</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83609;;MGD OF597 Cabrio Via - weiss matt;;;;;;;;;;MGD 3165040-21;;;;;;;;;;;;;;;;;Sehr leichter Jethelm aus Carbon Fiber mit integrierter Sonnenblende. Dank modernster Fertigungsweise nur ca. 900 g leicht;<br><p><strong>OF597 Cabrio Via - weiss matt</p></strong><br><p><strong>Aussenschale</p></strong><ul><li>3 Aussenschale aus Carbon-Fiber</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S)</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares, anti-bakterielles 'soft-touch' Innenfutter</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
