Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
45174;Pointure:select:0;39:1;SM1005-39;SM1005-39;;;;;;2;;;;;;;;;;;
45174;Pointure:select:0;40:2;SM1005-40;SM1005-40;;;;;;2;;;;;;;;;;;
45174;Pointure:select:0;41:3;SM1005-41;SM1005-41;;;;;;3;;;;;;;;;;;
45174;Pointure:select:0;42:4;SM1005-42;SM1005-42;;;;;;1;;;;;;;;;;;
45174;Pointure:select:0;43:5;SM1005-43;SM1005-43;;;;;;3;;;;;;;;;;;
45174;Pointure:select:0;44:6;SM1005-44;SM1005-44;;;;;;3;;;;;;;;;;;
45174;Pointure:select:0;45:7;SM1005-45;SM1005-45;;;;;;2;;;;;;;;;;;
45174;Pointure:select:0;46:8;SM1005-46;SM1005-46;;;;;;2;;;;;;;;;;;
45174;Pointure:select:0;47:9;SM1005-47;SM1005-47;;;;;;1;;;;;;;;;;;
45175;Pointure:select:0;39:1;SM1010-39;SM1010-39;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;40:2;SM1010-40;SM1010-40;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;41:3;SM1010-41;SM1010-41;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;42:4;SM1010-42;SM1010-42;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;43:5;SM1010-43;SM1010-43;;;;;;3;;;;;;;;;;;
45175;Pointure:select:0;44:6;SM1010-44;SM1010-44;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;45:7;SM1010-45;SM1010-45;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;46:8;SM1010-46;SM1010-46;;;;;;2;;;;;;;;;;;
45175;Pointure:select:0;47:9;SM1010-47;SM1010-47;;;;;;1;;;;;;;;;;;
45176;Pointure:select:0;36:1;SM1011-36;SM1011-36;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;37:0;SM1011-37;SM1011-37;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;38:2;SM1011-38;SM1011-38;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;39:3;SM1011-39;SM1011-39;;;;;;1;;;;;;;;;;;
45176;Pointure:select:0;40:4;SM1011-40;SM1011-40;;;;;;2;;;;;;;;;;;
45176;Pointure:select:0;41:5;SM1011-41;SM1011-41;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;42:6;SM1011-42;SM1011-42;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;43:7;SM1011-43;SM1011-43;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;44:8;SM1011-44;SM1011-44;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;45:9;SM1011-45;SM1011-45;;;;;;3;;;;;;;;;;;
45176;Pointure:select:0;46:10;SM1011-46;SM1011-46;;;;;;2;;;;;;;;;;;
45176;Pointure:select:0;47:11;SM1011-47;SM1011-47;;;;;;2;;;;;;;;;;;
45177;Pointure:select:0;36:1;SM1015-36;SM1015-36;;;;;;1;;;;;;;;;;;
45177;Pointure:select:0;37:2;SM1015-37;SM1015-37;;;;;;1;;;;;;;;;;;
45177;Pointure:select:0;38:3;SM1015-38;SM1015-38;;;;;;1;;;;;;;;;;;
45177;Pointure:select:0;39:4;SM1015-39;SM1015-39;;;;;;2;;;;;;;;;;;
45177;Pointure:select:0;40:5;SM1015-40;SM1015-40;;;;;;2;;;;;;;;;;;
45177;Pointure:select:0;41:6;SM1015-41;SM1015-41;;;;;;2;;;;;;;;;;;
45177;Pointure:select:0;42:7;SM1015-42;SM1015-42;;;;;;1;;;;;;;;;;;
45177;Pointure:select:0;43:8;SM1015-43;SM1015-43;;;;;;2;;;;;;;;;;;
45177;Pointure:select:0;44:9;SM1015-44;SM1015-44;;;;;;2;;;;;;;;;;;
45177;Pointure:select:0;45:10;SM1015-45;SM1015-45;;;;;;1;;;;;;;;;;;
45177;Pointure:select:0;46:11;SM1015-46;SM1015-46;;;;;;0;;;;;;;;;;;
45177;Pointure:select:0;47:12;SM1015-47;SM1015-47;;;;;;1;;;;;;;;;;;
45178;Pointure:select:0;39:1;SM1025-39;SM1025-39;;;;;;0;;;;;;;;;;;
45178;Pointure:select:0;40:2;SM1025-40;SM1025-40;;;;;;0;;;;;;;;;;;
45178;Pointure:select:0;41:3;SM1025-41;SM1025-41;;;;;;0;;;;;;;;;;;
45178;Pointure:select:0;42:4;SM1025-42;SM1025-42;;;;;;1;;;;;;;;;;;
45178;Pointure:select:0;43:5;SM1025-43;SM1025-43;;;;;;1;;;;;;;;;;;
45178;Pointure:select:0;44:6;SM1025-44;SM1025-44;;;;;;0;;;;;;;;;;;
45178;Pointure:select:0;45:7;SM1025-45;SM1025-45;;;;;;0;;;;;;;;;;;
45178;Pointure:select:0;46:8;SM1025-46;SM1025-46;;;;;;0;;;;;;;;;;;
45179;Pointure:select:0;36:1;SM1220-36;SM1220-36;;;;;;0;;;;;;;;;;;
45179;Pointure:select:0;37:2;SM1220-37;SM1220-37;;;;;;1;;;;;;;;;;;
45179;Pointure:select:0;38:3;SM1220-38;SM1220-38;;;;;;1;;;;;;;;;;;
45179;Pointure:select:0;39:4;SM1220-39;SM1220-39;;;;;;2;;;;;;;;;;;
45179;Pointure:select:0;40:5;SM1220-40;SM1220-40;;;;;;0;;;;;;;;;;;
45179;Pointure:select:0;41:6;SM1220-41;SM1220-41;;;;;;1;;;;;;;;;;;
45179;Pointure:select:0;42:7;SM1220-42;SM1220-42;;;;;;1;;;;;;;;;;;
45179;Pointure:select:0;43:8;SM1220-43;SM1220-43;;;;;;1;;;;;;;;;;;
45179;Pointure:select:0;44:9;SM1220-44;SM1220-44;;;;;;2;;;;;;;;;;;
45179;Pointure:select:0;45:10;SM1220-45;SM1220-45;;;;;;1;;;;;;;;;;;
45179;Pointure:select:0;46:11;SM1220-46;SM1220-46;;;;;;0;;;;;;;;;;;
45179;Pointure:select:0;47:12;SM1220-47;SM1220-47;;;;;;0;;;;;;;;;;;
45180;Pointure:select:0;36:1;SM1221-36;SM1221-36;;;;;;1;;;;;;;;;;;
45180;Pointure:select:0;37:2;SM1221-37;SM1221-37;;;;;;0;;;;;;;;;;;
45180;Pointure:select:0;38:3;SM1221-38;SM1221-38;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;39:4;SM1221-39;SM1221-39;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;40:5;SM1221-40;SM1221-40;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;41:6;SM1221-41;SM1221-41;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;42:7;SM1221-42;SM1221-42;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;43:8;SM1221-43;SM1221-43;;;;;;3;;;;;;;;;;;
45180;Pointure:select:0;44:9;SM1221-44;SM1221-44;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;45:10;SM1221-45;SM1221-45;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;46:11;SM1221-46;SM1221-46;;;;;;2;;;;;;;;;;;
45180;Pointure:select:0;47:12;SM1221-47;SM1221-47;;;;;;1;;;;;;;;;;;
45181;Pointure:select:0;37:1;SM1240-37;SM1240-37;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;38:2;SM1240-38;SM1240-38;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;39:3;SM1240-39;SM1240-39;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;40:4;SM1240-40;SM1240-40;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;41:5;SM1240-41;SM1240-41;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;42:6;SM1240-42;SM1240-42;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;43:7;SM1240-43;SM1240-43;;;;;;0;;;;;;;;;;;
45181;Pointure:select:0;44:8;SM1240-44;SM1240-44;;;;;;1;;;;;;;;;;;
45182;Pointure:select:0;39:1;SM1241-39;SM1241-39;;;;;;2;;;;;;;;;;;
45182;Pointure:select:0;40:2;SM1241-40;SM1241-40;;;;;;2;;;;;;;;;;;
45182;Pointure:select:0;41:3;SM1241-41;SM1241-41;;;;;;2;;;;;;;;;;;
45182;Pointure:select:0;42:4;SM1241-42;SM1241-42;;;;;;2;;;;;;;;;;;
45182;Pointure:select:0;43:5;SM1241-43;SM1241-43;;;;;;2;;;;;;;;;;;
45182;Pointure:select:0;44:6;SM1241-44;SM1241-44;;;;;;2;;;;;;;;;;;
45182;Pointure:select:0;45:7;SM1241-45;SM1241-45;;;;;;1;;;;;;;;;;;
45182;Pointure:select:0;46:8;SM1241-46;SM1241-46;;;;;;0;;;;;;;;;;;
45183;Pointure:select:0;36:1;SM1242-36;SM1242-36;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;37:2;SM1242-37;SM1242-37;;;;;;1;;;;;;;;;;;
45183;Pointure:select:0;38:3;SM1242-38;SM1242-38;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;39:4;SM1242-39;SM1242-39;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;40:5;SM1242-40;SM1242-40;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;41:6;SM1242-41;SM1242-41;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;42:7;SM1242-42;SM1242-42;;;;;;2;;;;;;;;;;;
45183;Pointure:select:0;43:8;SM1242-43;SM1242-43;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;44:9;SM1242-44;SM1242-44;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;45:10;SM1242-45;SM1242-45;;;;;;3;;;;;;;;;;;
45183;Pointure:select:0;46:11;SM1242-46;SM1242-46;;;;;;2;;;;;;;;;;;
45183;Pointure:select:0;47:12;SM1242-47;SM1242-47;;;;;;2;;;;;;;;;;;
45184;Pointure:select:0;36:1;SM1243-36;SM1243-36;;;;;;2;;;;;;;;;;;
45184;Pointure:select:0;37:2;SM1243-37;SM1243-37;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;38:3;SM1243-38;SM1243-38;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;39:4;SM1243-39;SM1243-39;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;40:5;SM1243-40;SM1243-40;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;41:6;SM1243-41;SM1243-41;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;42:7;SM1243-42;SM1243-42;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;43:8;SM1243-43;SM1243-43;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;44:9;SM1243-44;SM1243-44;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;45:10;SM1243-45;SM1243-45;;;;;;3;;;;;;;;;;;
45184;Pointure:select:0;46:11;SM1243-46;SM1243-46;;;;;;2;;;;;;;;;;;
45184;Pointure:select:0;47:12;SM1243-47;SM1243-47;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;36:1;SM1260-36;SM1260-36;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;37:2;SM1260-37;SM1260-37;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;38:3;SM1260-38;SM1260-38;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;39:4;SM1260-39;SM1260-39;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;40:5;SM1260-40;SM1260-40;;;;;;3;;;;;;;;;;;
45185;Pointure:select:0;41:6;SM1260-41;SM1260-41;;;;;;3;;;;;;;;;;;
45185;Pointure:select:0;42:7;SM1260-42;SM1260-42;;;;;;3;;;;;;;;;;;
45185;Pointure:select:0;43:8;SM1260-43;SM1260-43;;;;;;3;;;;;;;;;;;
45185;Pointure:select:0;44:9;SM1260-44;SM1260-44;;;;;;3;;;;;;;;;;;
45185;Pointure:select:0;45:10;SM1260-45;SM1260-45;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;46:11;SM1260-46;SM1260-46;;;;;;2;;;;;;;;;;;
45185;Pointure:select:0;47:12;SM1260-47;SM1260-47;;;;;;1;;;;;;;;;;;
45186;Pointure:select:0;36:1;SM1270-36;SM1270-36;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;37:2;SM1270-37;SM1270-37;;;;;;1;;;;;;;;;;;
45186;Pointure:select:0;38:3;SM1270-38;SM1270-38;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;39:4;SM1270-39;SM1270-39;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;40:5;SM1270-40;SM1270-40;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;41:6;SM1270-41;SM1270-41;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;42:7;SM1270-42;SM1270-42;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;43:8;SM1270-43;SM1270-43;;;;;;3;;;;;;;;;;;
45186;Pointure:select:0;44:9;SM1270-44;SM1270-44;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;45:10;SM1270-45;SM1270-45;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;46:11;SM1270-46;SM1270-46;;;;;;2;;;;;;;;;;;
45186;Pointure:select:0;47:12;SM1270-47;SM1270-47;;;;;;0;;;;;;;;;;;
45187;Pointure:select:0;39:1;SM3010-39;SM3010-39;;;;;;0;;;;;;;;;;;
45187;Pointure:select:0;40:2;SM3010-40;SM3010-40;;;;;;1;;;;;;;;;;;
45187;Pointure:select:0;41:3;SM3010-41;SM3010-41;;;;;;1;;;;;;;;;;;
45187;Pointure:select:0;42:4;SM3010-42;SM3010-42;;;;;;1;;;;;;;;;;;
45187;Pointure:select:0;43:5;SM3010-43;SM3010-43;;;;;;2;;;;;;;;;;;
45187;Pointure:select:0;44:6;SM3010-44;SM3010-44;;;;;;0;;;;;;;;;;;
45187;Pointure:select:0;45:7;SM3010-45;SM3010-45;;;;;;1;;;;;;;;;;;
45187;Pointure:select:0;46:8;SM3010-46;SM3010-46;;;;;;2;;;;;;;;;;;
45187;Pointure:select:0;47:9;SM3010-47;SM3010-47;;;;;;2;;;;;;;;;;;
45188;Pointure:select:0;38:1;SM5010-38;SM5010-38;;;;;;2;;;;;;;;;;;
45188;Pointure:select:0;39:2;SM5010-39;SM5010-39;;;;;;2;;;;;;;;;;;
45188;Pointure:select:0;40:3;SM5010-40;SM5010-40;;;;;;2;;;;;;;;;;;
45188;Pointure:select:0;41:4;SM5010-41;SM5010-41;;;;;;3;;;;;;;;;;;
45188;Pointure:select:0;42:5;SM5010-42;SM5010-42;;;;;;2;;;;;;;;;;;
45188;Pointure:select:0;43:6;SM5010-43;SM5010-43;;;;;;3;;;;;;;;;;;
45188;Pointure:select:0;44:7;SM5010-44;SM5010-44;;;;;;3;;;;;;;;;;;
45188;Pointure:select:0;45:8;SM5010-45;SM5010-45;;;;;;3;;;;;;;;;;;
45188;Pointure:select:0;46:9;SM5010-46;SM5010-46;;;;;;2;;;;;;;;;;;
45188;Pointure:select:0;47:10;SM5010-47;SM5010-47;;;;;;2;;;;;;;;;;;
45189;Pointure:select:0;37:1;SM5012-37;SM5012-37;;;;;;0;;;;;;;;;;;
45189;Pointure:select:0;38:2;SM5012-38;SM5012-38;;;;;;0;;;;;;;;;;;
45189;Pointure:select:0;39:3;SM5012-39;SM5012-39;;;;;;1;;;;;;;;;;;
45189;Pointure:select:0;40:4;SM5012-40;SM5012-40;;;;;;1;;;;;;;;;;;
45189;Pointure:select:0;41:5;SM5012-41;SM5012-41;;;;;;1;;;;;;;;;;;
45189;Pointure:select:0;42:6;SM5012-42;SM5012-42;;;;;;2;;;;;;;;;;;
45189;Pointure:select:0;43:7;SM5012-43;SM5012-43;;;;;;2;;;;;;;;;;;
45189;Pointure:select:0;44:8;SM5012-44;SM5012-44;;;;;;2;;;;;;;;;;;
45189;Pointure:select:0;45:9;SM5012-45;SM5012-45;;;;;;2;;;;;;;;;;;
45189;Pointure:select:0;46:10;SM5012-46;SM5012-46;;;;;;1;;;;;;;;;;;
45189;Pointure:select:0;47:11;SM5012-47;SM5012-47;;;;;;1;;;;;;;;;;;
45190;Pointure:select:0;38:1;SM5013-38;SM5013-38;;;;;;0;;;;;;;;;;;
45190;Pointure:select:0;39:2;SM5013-39;SM5013-39;;;;;;0;;;;;;;;;;;
45190;Pointure:select:0;40:3;SM5013-40;SM5013-40;;;;;;1;;;;;;;;;;;
45190;Pointure:select:0;41:4;SM5013-41;SM5013-41;;;;;;1;;;;;;;;;;;
45190;Pointure:select:0;42:5;SM5013-42;SM5013-42;;;;;;2;;;;;;;;;;;
45190;Pointure:select:0;43:6;SM5013-43;SM5013-43;;;;;;3;;;;;;;;;;;
45190;Pointure:select:0;44:7;SM5013-44;SM5013-44;;;;;;3;;;;;;;;;;;
45190;Pointure:select:0;45:8;SM5013-45;SM5013-45;;;;;;2;;;;;;;;;;;
45190;Pointure:select:0;46:9;SM5013-46;SM5013-46;;;;;;2;;;;;;;;;;;
45190;Pointure:select:0;47:10;SM5013-47;SM5013-47;;;;;;0;;;;;;;;;;;
45191;Pointure:select:0;38:1;SM5014-38;SM5014-38;;;;;;1;;;;;;;;;;;
45191;Pointure:select:0;39:2;SM5014-39;SM5014-39;;;;;;1;;;;;;;;;;;
45191;Pointure:select:0;40:3;SM5014-40;SM5014-40;;;;;;2;;;;;;;;;;;
45191;Pointure:select:0;41:4;SM5014-41;SM5014-41;;;;;;2;;;;;;;;;;;
45191;Pointure:select:0;42:5;SM5014-42;SM5014-42;;;;;;2;;;;;;;;;;;
45191;Pointure:select:0;43:6;SM5014-43;SM5014-43;;;;;;2;;;;;;;;;;;
45191;Pointure:select:0;44:7;SM5014-44;SM5014-44;;;;;;1;;;;;;;;;;;
45191;Pointure:select:0;45:8;SM5014-45;SM5014-45;;;;;;1;;;;;;;;;;;
45191;Pointure:select:0;46:9;SM5014-46;SM5014-46;;;;;;1;;;;;;;;;;;
45191;Pointure:select:0;47:10;SM5014-47;SM5014-47;;;;;;0;;;;;;;;;;;
45192;Pointure:select:0;39:1;SM5220-39;SM5220-39;;;;;;0;;;;;;;;;;;
45192;Pointure:select:0;40:2;SM5220-40;SM5220-40;;;;;;2;;;;;;;;;;;
45192;Pointure:select:0;41:3;SM5220-41;SM5220-41;;;;;;1;;;;;;;;;;;
45192;Pointure:select:0;42:4;SM5220-42;SM5220-42;;;;;;2;;;;;;;;;;;
45192;Pointure:select:0;43:5;SM5220-43;SM5220-43;;;;;;2;;;;;;;;;;;
45192;Pointure:select:0;44:6;SM5220-44;SM5220-44;;;;;;1;;;;;;;;;;;
