Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence de déclinaison;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;Ecotaxe;Largeur;Hauteur;Profondeur;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Delete existing images (0 = No, 1 = Yes);Caractéristiques;Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80943;1;Gant Five Stunt Leather;440;104.68;1;0;;;;;;FI50STLEFL;FI50STLEFL;Parts-World;Five;;;;;;;1;;;;;;<h2>Concept  de gant inventé par FIVE, souvent copié mais jamais égalé.</h2>;"<p>Le STUNT est considéré, à juste titre, comme l'original. Le voici dans sa version tout cuir. Gant court urbain routier. Maxi fitting. Haut niveau de protection de la paume et coque de phalanges en 3 parties ventilées caractéristique. Fermeture par scratch velcro. Languette facilitant l'enfilage. Idéal pour une utilisation urbaine ou parcours routier au quotidien.</p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-leather;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Flat:1;Genre:Homme:2;Etanchéité:Non:3;Matière:Cuir:4";;Neuf;0;0;0;2;0;0;0;0
80944;1;Gant Five Stunt Replica Evo;440;87.08;1;0;;;;;;FI50STRPARM;FI50STRPARM;Parts-World;Five;;;;;;;0;;;;;;<h2>Concept  de gant inventé par FIVE, souvent copié mais jamais égalé.</h2>;"<p>Le STUNT est considéré, à juste titre, comme l'original. Le voici dans sa version tout cuir. Gant court urbain routier. Maxi fitting. Haut niveau de protection de la paume et coque de phalanges en 3 parties ventilées caractéristique. Fermeture par scratch velcro. Languette facilitant l'enfilage. Idéal pour une utilisation urbaine ou parcours routier au quotidien.</p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-replica-evo;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Etanchéité:Non:2;Matière:Cuir:3";;Neuf;0;0;0;2;0;0;0;0
80945;1;Gant Five Stunt Replica Evo;440;87.08;1;0;;;;;;FI50STRPENGE;FI50STRPENGE;Parts-World;Five;;;;;;;1;;;;;;<h2>Concept  de gant inventé par FIVE, souvent copié mais jamais égalé.</h2>;"<p>Le STUNT est considéré, à juste titre, comme l'original. Le voici dans sa version tout cuir. Gant court urbain routier. Maxi fitting. Haut niveau de protection de la paume et coque de phalanges en 3 parties ventilées caractéristique. Fermeture par scratch velcro. Languette facilitant l'enfilage. Idéal pour une utilisation urbaine ou parcours routier au quotidien.</p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-replica-evo;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Etanchéité:Non:2;Matière:Cuir:3";;Neuf;0;0;0;2;0;0;0;0
80946;1;Gant Five Stunt Replica Evo;440;87.08;1;0;;;;;;FI50STRPITAE;FI50STRPITAE;Parts-World;Five;;;;;;;1;;;;;;<h2>Concept  de gant inventé par FIVE, souvent copié mais jamais égalé.</h2>;"<p>Le STUNT est considéré, à juste titre, comme l'original. Le voici dans sa version tout cuir. Gant court urbain routier. Maxi fitting. Haut niveau de protection de la paume et coque de phalanges en 3 parties ventilées caractéristique. Fermeture par scratch velcro. Languette facilitant l'enfilage. Idéal pour une utilisation urbaine ou parcours routier au quotidien.</p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-replica-evo;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Etanchéité:Non:2;Matière:Cuir:3";;Neuf;0;0;0;2;0;0;0;0
80947;1;Gant Five Stunt Replica Evo;440;87.08;1;0;;;;;;FI50STRPUSA;FI50STRPUSA;Parts-World;Five;;;;;;;0;;;;;;<h2>Concept  de gant inventé par FIVE, souvent copié mais jamais égalé.</h2>;"<p>Le STUNT est considéré, à juste titre, comme l'original. Le voici dans sa version tout cuir. Gant court urbain routier. Maxi fitting. Haut niveau de protection de la paume et coque de phalanges en 3 parties ventilées caractéristique. Fermeture par scratch velcro. Languette facilitant l'enfilage. Idéal pour une utilisation urbaine ou parcours routier au quotidien.</p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-replica-evo;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Etanchéité:Non:2;Matière:Cuir:3";;Neuf;0;0;0;2;0;0;0;0
80948;1;Gant Five Stunt Replica Evo;440;78.29;1;0;;;;;;FI50STRPBE;FI50STRPBE;Parts-World;Five;;;;;;;3;;;;;;<h2><span>Évolution de l'espèce.</span></h2>;"<p><span>Concept de gant inventé par FIVE, souvent copié mais jamais égalé, le STUNT est considéré, à juste titre, comme l'original du genre. Il évolue pour devenir STUNT EVO et arbore un nouveau design et de toutes nouvelles coques de protection des phalanges, ainsi qu'une nouvelle protection de paume en carbone. Caractérisé par sa paume en cuir, son fitting, son confort et ses sensations des commandes s'avèrent exceptionnelles grâce à sa structure supérieure textile. Languette facilitant l'enfilage. Convient parfaitement à un usage urbain engagé.</span></p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-replica-evo;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Etanchéité:Non:2;Matière:Cuir:3;Saisonnalité:été:4";;Neuf;0;0;0;2;0;0;0;0
80950;1;MGD Gants Five Stunt Airflow;223;87.08;1;0;;;;;;MGD FI50AIRB;FI50AIRB;Parts-World;Five;;;;;;;3;;;;;;<p>Version ventilée du STUNT EVO.</p>;"<p><span>Version ventilée du STUNT EVO. Adopte une structure supérieure en mesh très ajouré pour une circulation optimale de l'air. Concept de gant inventé par FIVE, souvent copié mais jamais égalé, le STUNT est considéré, à juste titre, comme l'original du genre. Il évolue pour devenir STUNT EVO et arbore un nouveau design et de toutes nouvelles coques de protection des phalanges, ainsi qu'une nouvelle protection de paume en carbone. Caractérisé par sa paume en cuir, son fitting, son confort et ses sensations des commandes s'avèrent exceptionnelles grâce à sa structure supérieure textile. Languette facilitant l'enfilage. Convient parfaitement à un usage urbain engagé en période estivale.</span></p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,suisse,pas cher,cuir,gants,textil,scouter,air,five,airflow;;;;mgd-gants-five-stunt-airflow;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Fabricant:Five:2;Etanchéité:Non:3;Matière:Cuir et Textile:4;Saisonnalité:été:5";;Neuf;0;0;0;2;0;0;0;0
80951;1;Gant Five California;223;104.68;1;0;;;;;;FI10CALB;FI10CALB;Parts-World;Five;;;;;;;1;;;;;;<p><strong>CALIFORNIA</strong></p> <p>Un gant qui évoque pleinement la custom culture.. </p>;<p><strong><span>CALIFORNIA </span></strong></p> <p><span>Coutures transversales offrant un aspect matelassé très vintage. Sigle FIVE métal. Fermeture par le dessus par pate d'ajustement combinant cuir et velcro.  « Pull in tab » pour faciliter l'enfilage. Un gant qui évoque pleinement la custom culture.</span><span>. </span></p>;moto,suisse,gant,cuir,qualité,five,custom,culture,california;;;;gant-five-california;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Noir:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6";;Neuf;0;0;0;2;0;0;0;0
80952;1;Gant Five California;223;104.68;1;0;;;;;;FI10CALBR;FI10CALBR;Parts-World;Five;;;;;;;1;;;;;;<p><strong>CALIFORNIA</strong></p> <p>Un gant qui évoque pleinement la custom culture.. </p>;<p><strong><span>CALIFORNIA </span></strong></p> <p><span>Coutures transversales offrant un aspect matelassé très vintage. Sigle FIVE métal. Fermeture par le dessus par pate d'ajustement combinant cuir et velcro.  « Pull in tab » pour faciliter l'enfilage. Un gant qui évoque pleinement la custom culture.</span><span>. </span></p>;moto,suisse,gant,cuir,qualité,five,custom,culture,california;;;;gant-five-california;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Brun:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6";;Neuf;0;0;0;2;0;0;0;0
80953;1;Gant Five Arizona - noir/orange;223;95.88;1;0;;;;;;FI10ARZBO;FI10ARZBO;Parts-World;Five;;;;;;;1;;;;;;<p><strong>ARIZONA</strong></p> <p><strong>Nouveau gant 100% cuir pleine fleur à la personnalité affirmée, associant harmonieusement cuir matelassé et cuir perforé, et alliant design et protection.</strong></p>;"<p><strong><span>ARIZONA</span></strong></p> <p><span><span>Nouveau gant 100% cuir pleine fleur à la personnalité affirmée, associant harmonieusement cuir matelassé et cuir perforé, et alliant design et protection. </span></span><span>Il bénéficie, en effet, de renforts de cuir épais surpiqués sur la tranche de la main, dont la fonction n'est pas seulement esthétique mais vise à préserver la main de son pilote en cas de chute. Fermeture par patte de cuir dotée d'un bouton pression estampillé FIVE. Par son caractère unique, sa superbe finition et ses matériaux nobles, il respire à plein la culture vintage.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/COVxUHD6d8c"" frameborder=""0"" allowfullscreen></iframe></p>";moto,suisse,pas cher,gant,cuir,homme,femme,qualité,textil,five;;;;gant-five-arizona;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:noir - orange:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6";;Neuf;0;0;0;2;0;0;0;0
81477;1;Gant Five RFX1;226;227.82;1;0;;;;;;FI40RFX1B;FI40RFX1BSv2;Parts-World;Five;;;;;;;2;;;;;;<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone.</p>;"<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone. Il présente toutes les caractéristiques d'un gant haut de gamme orienté performance. Doublure Kevlar®, renforts carbone, cuir pleine fleur pour la protection, stretch kevlar(TM) pour l'aisance, protecteur tant au niveau de la paume que de la zone supérieure de la main, il offre plus que jamais un fitting exceptionnel pour un poids réduit. Ce gant Racing haut de gamme ravira les pilotes de machines sportives exigeants, qui privilégient la sensibilité des commandes et le fitting, sans négliger la sécurité. Signature V-Five.</p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BbIfDZMH3rI"" frameborder=""0"" allowfullscreen></iframe></p>";suisse,gant,racing,carbone,sport,kevlar,été,qualité,nouveau,2016;;;Gant Racing destiné à un usage piste et sport. Le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées.;gant-five-rfx1;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Noir:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6;Univers:Sportif:7";;Neuf;0;0;0;2;0;0;0;0
81478;1;Gant Five RFX1;226;227.82;1;0;;;;;;FI40RFX1WR;FI40RFX1WRMv2;Parts-World;Five;;;;;;;2;;;;;;<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone.</p>;"<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone. Il présente toutes les caractéristiques d'un gant haut de gamme orienté performance. Doublure Kevlar®, renforts carbone, cuir pleine fleur pour la protection, stretch kevlar(TM) pour l'aisance, protecteur tant au niveau de la paume que de la zone supérieure de la main, il offre plus que jamais un fitting exceptionnel pour un poids réduit. Ce gant Racing haut de gamme ravira les pilotes de machines sportives exigeants, qui privilégient la sensibilité des commandes et le fitting, sans négliger la sécurité. Signature V-Five.</p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BbIfDZMH3rI"" frameborder=""0"" allowfullscreen></iframe></p>";suisse,gant,racing,carbone,sport,kevlar,été,qualité,nouveau,2016;;;Gant Racing destiné à un usage piste et sport. Le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées.;gant-five-rfx1;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:rouge-blanc:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6;Univers:Sportif:7";;Neuf;0;0;0;2;0;0;0;0
81479;1;Gant Five RFX1;226;227.82;1;0;;;;;;FI40RFX1WB;FI40RFX1WBSv2;Parts-World;Five;;;;;;;1;;;;;;<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone.</p>;"<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone. Il présente toutes les caractéristiques d'un gant haut de gamme orienté performance. Doublure Kevlar®, renforts carbone, cuir pleine fleur pour la protection, stretch kevlar(TM) pour l'aisance, protecteur tant au niveau de la paume que de la zone supérieure de la main, il offre plus que jamais un fitting exceptionnel pour un poids réduit. Ce gant Racing haut de gamme ravira les pilotes de machines sportives exigeants, qui privilégient la sensibilité des commandes et le fitting, sans négliger la sécurité. Signature V-Five.</p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BbIfDZMH3rI"" frameborder=""0"" allowfullscreen></iframe></p>";suisse,gant,racing,carbone,sport,kevlar,été,qualité,nouveau,2016;;;Gant Racing destiné à un usage piste et sport. Le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées.;gant-five-rfx1;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:blanc - bleu:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6;Univers:Sportif:7";;Neuf;0;0;0;2;0;0;0;0
84774;1;Gant Five RFX1 blanc/jaune;226;227.82;1;0;;;;;;FI40RFX1WY;FI40RFX1WY;Parts-World;Five;;;;;;;0;;;;;;<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone.</p>;"<p>Gant Racing destiné à un usage piste et sport. Totalement redessiné pour 2016, le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées et une large coque de protection de l'avant bras en carbone. Il présente toutes les caractéristiques d'un gant haut de gamme orienté performance. Doublure Kevlar®, renforts carbone, cuir pleine fleur pour la protection, stretch kevlar(TM) pour l'aisance, protecteur tant au niveau de la paume que de la zone supérieure de la main, il offre plus que jamais un fitting exceptionnel pour un poids réduit. Ce gant Racing haut de gamme ravira les pilotes de machines sportives exigeants, qui privilégient la sensibilité des commandes et le fitting, sans négliger la sécurité. Signature V-Five.</p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BbIfDZMH3rI"" frameborder=""0"" allowfullscreen></iframe></p>";suisse,gant,racing,carbone,sport,kevlar,été,qualité,nouveau,2016;;;Gant Racing destiné à un usage piste et sport. Le nouveau RFX1 intègre de nouvelles coques de phalanges en PU ventilées.;gant-five-rfx1-blancjaune;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:blanc - bleu:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:été:6;Univers:Sportif:7";;Neuf;0;0;0;2;0;0;0;0
