Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence du fournisseur par défaut;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;Ecotaxe;Largeur;Hauteur;Profondeur;Poids;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Delete existing images (0 = No, 1 = Yes);Caractéristiques;Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Warehouse;Warehouse
1611;;Five RFX3 Handschuhe;;;;;;;;;;FI40RFX3B;;;;;;;;;;;;;;;;;<p>Ein moderner, Sicherheitshandschuh für Sport und Tourenfahrer.</p>;"<p><span>Ein neuer sportlicher Handschuh hergestellt aus geschmeidigen Top Grade A Rindsleder. Der RFX3 verbindet den legendären Five Tragkomfort mit hohen Sicherheitsaspekten wie PU-Schutz über Handrücken &amp; Handballen, Memoryfoam über Finger und TPR Schütz über das Handgelenk. </span><span>Der individuell einstellbare Velcro-Verschluss über das Handgelenk und die die Elle erlauben eine perfekten Sitz und verhindern effizient das Abstreifen vom Handschuh bei einem möglichen Sturz.  Gedoppeltes Leder über die Innenhand und Stretch-Einsätze über Seitenhand, Finger und Daumen sorgen für einen komfortablen und dauernden Tragkomfort. Patentierte roter V-Finger Einsatz.</span></p> <p><span>Ein moderner, Sicherheitshandschuh für Sport und Tourenfahrer. </span></p> <p><span> </span>";schwarz,Handschuhe,Neu,2016,five,rfx3,lerderhandschuhe;;;handschuhe, five, rfx3, schweiz, lederhandschuhe, ;five-rfx3-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1612;;Five RFX4 Airflow Handschuhe;;;;;;;;;;FI40RFX4AIRB;;;;;;;;;;;;;;;;;<p>Ein dezenter, Sicherheit orientierter Handschuh für den Budget bewussten Motorrad/Rollerfahrer. </p>;"<p><span>Versatiler Sporthandschuh für praktisch jeden Einsatzbereich sei es auf einem Roller oder Sportmotorrad. Geschmeidiges narbenfreies Rindsleder, PU Handrückenschutz für verbesserte Sicherheit, vorgeschnittene Finger und Passform sowie individuell einstellbarer Velcro-Verschluss über das Handgelenk garantieren für einen komfortablen &amp; satten Sitz vom RFX4. </span></p> <p style=""text-align:center;""><span>Ein dezenter, Sicherheit orientierter Handschuh für den Budget bewussten Motorrad/Rollerfahrer. </span>";billig,Leder,Sporthandschuh,Handschuhe,Roller,Neu,2016,schweiz,five,Sportmotorrad;;;handschuhe, rfx4 airflow, lederhandschuhe, five, ;five-rfx4-airflow-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1613;;Five SF1 Handschuhe;;;;;;;;;;FI50SF1B;;;;;;;;;;;;;;;;;;"<p><span>Hightech Handschuh für Sport, Naked &amp; Supermoto Fahrer. Hergestellt für Motorradfahrer die hohe Sicherheitsfunktionen und einen idealen Tragkomfort suchen. </span><span>Hergestellt aus 4 verschiedenen Lederarten. </span></p> <ol><li><span><span>       </span></span><span>Top Grade </span><span>narbenfreiem Rindsleder für die Oberhand.</span></li> <li><span><span>       </span></span><span>Reißfestes Ziegenleder  für die Innenhand welches zusätzlich mit </span></li> <li><span><span>       </span></span><span>,,Gripp"" freundlichem &amp; wasserfestem Pittardleder verstärkt wird. </span></li> <li><span><span>       </span></span><span>Weiches Schafleder zwischen den Fingern für ein optimales Fahrgefühl</span></li> </ol><p><span>Das Kevlar<strong>®</strong> Innenfutter und die Karbonverstärkungen über Handrücken und Finger sorgen zudem für eine aktive Sicherheit. Der </span><span>Kevlarstretch</span><span>(TM), sowie die vorgeformten Finger &amp; Passform geben dem SF1 einen einzigartigen Tragkomfort und das trotz hohen Sicherheitsaspekten. </span></p> <p><span>Das Topmodell im kurzen Handschuhbereich von Five.  Ein Bestseller seit Jahren. </span></p> <p><span><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MpSqLyGlQJk"" frameborder=""0"" allowfullscreen></iframe></p>";Leder,Motorrad,Sport,Handschuhe,Neu,2016,five,sf1;;;handschuhe, sf1, leder, five, neu, 2016, ;five-sf1-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1614;;Five Stunt Leather Handschuhe;;;;;;;;;;FI50STLEB;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-leather-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1615;;Five Sportcity Handschuhe;;;;;;;;;;FI50SPCB;;;;;;;;;;;;;;;;;<p>Ein dezenter Sicherheitshandschuh mit einem ausgezeichneten Preis/Leistungsverhältnis. Ein weiterer Klassiker im Five Programm.</p>;"<p><span>Eingebauter einteiliger PU Handrücken- und Handballenschutz, sowie das perforierte narbenfreie Rindsleder sorgen bei Sportcity für exzellenten Tragkomfort und viel Fahrspaß sei es auf einem Roller, Cruiser oder Roadster Motorrad. 2014 wurde der Sportcity zudem vom renommierten französischen Motorradmagazine ,,Moto Magazine"" mit dem besten technischen Testresultat (9 aus 10) ausgezeichnet.  </span></p> <p><span>Ein dezenter Sicherheitshandschuh mit einem ausgezeichneten Preis/Leistungsverhältnis. Ein weiterer Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TN3wA47r1RY"" frameborder=""0"" allowfullscreen></iframe></p>";Leder,Motorrad,Handschuhe,Roller,schweiz,sportcity;;;five sportcity Handschuhe;five-sportcity-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1616;;Five Sportcity Air Handschuhe;;;;;;;;;;FI50SPCAB;;;;;;;;;;;;;;;;;;"<p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TN3wA47r1RY"" frameborder=""0"" allowfullscreen></iframe></p>";Leder,Motorrad,Textil,Handschuhe,Roller,Neu,2016,air,five,sportcity;;;Gants de moto five sportcity air;five-sportcity-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1634;;Five Arizona Handschuhe - schwarz;;;;;;;;;;FI10ARZBO;;;;;;;;;;;;;;;;;<p>Der Arizona ist der Retro Handschuh für 2016. </p>;"<p><strong><span>ARIZONA</span></strong></p> <p><span>Toller und einzigartiger Look durch eine interessante schwarz/rot Farbkombination für diesen High-Tech Custom Handschuh. Perforiertes narbenfreies Rindsleder. Zuglasche für einfaches An- und Abziehen, vorgeformte Passform, </span><span>patentierte roter V-Finger Einsatz und exklusive Farbgebung</span><span>sind schöne Detaillösungen für dieses einzigartige Modell. </span></p> <p><span>Der Arizona ist der Retro Handschuh für 2016. </span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WqCsuFXf8Hs"" frameborder=""0"" allowfullscreen></iframe></p>";Handschuhe,five,arizona;;;;five-arizona-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1635;;Five Handschuhe RFX4 Vented;;;;;;;;;;FI40RFX4VB;;;;;;;;;;;;;;;;;<h2><span>Ultra-versatile Standard or Vented glove for city riding.</span></h2>;"<p><strong><span>RFX4 </span></strong><span>PPE homologiert)</span></p> <p><span>Versatiler Sporthandschuh für praktisch jeden Einsatzbereich sei es auf einem Roller oder Sportmotorrad. Geschmeidiges narbenfreies Rindsleder, PU Handrückenschutz für verbesserte Sicherheit, vorgeschnittene Finger und Passform sowie individuell einstellbarer Velcro-Verschluss über das Handgelenk garantieren für einen komfortablen &amp; satten Sitz vom RFX4. </span></p> <p><span>Ein dezenter, Sicherheit orientierter Handschuh für den Budget bewussten Motorrad/Rollerfahrer. </span></p> <p><span> </span></p> <p>";Motorrad,Roller,schweiz,five,rfx4,ventedm,vented;;;;five-handschuhe-rfx4-vented;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1636;;Five GT2 WP Handschuhe;;;;;;;;;;FI60GT2B ;;;;;;;;;;;;;;;;;"<p><strong>GT2 WP </strong>(PPE homologiert)</p> <p>Eine leicht ,,abgespeckte"" Version vom GT1 WP welche Fahrer anspricht welche Top Sicherheitsaspekte und Tragkomfort in einem preislich attraktiveren Segment suchen.</p>";"<p><strong>GT2 WP </strong>(PPE homologiert)</p> <p>Eine leicht ,,abgespeckte"" Version vom GT1 WP welche Fahrer anspricht welche Top Sicherheitsaspekte und Tragkomfort in einem preislich attraktiveren Segment suchen.</p> <p><span>Für die Handoberfläche wird das bewährte Cordura</span><span>(TM) Stretch Material verwendet das über die Finger und Hände zusätzlich mit Leder verstärkt wird. Bei der Innenhand kommt ein Top Grade Vollnarben Rindsleder zum Einsatz. </span></p> <p><span>Eine 100% Wasserdichte und atmungsaktive Hipora</span><strong><span>®</span></strong><span> Membrane garantiert für einen komfortablen Einsatz auch bei nassen </span><span>Wetterbedingungen. Vorgeformte PU Schutz über Handrücken und Finger sorgen für wichtige Sicherheitsaspekte. </span><span>Der innovative Velcro-Verschluss über das Handgelenk erlaubt ein Tragen vom GT2 WP entweder über oder unter einer Motorradjacke. Vorgeformte Finger &amp; Passform sowie ein zeitloses Design machen aus dem GT2 WP ein echtes Multitalent im Tourenhandschuhbereich. </span></p> <p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zoAltxzobJ4"" frameborder=""0"" allowfullscreen></iframe><span> </span>";suisse,waterproof,étanche,Handschuhe,équipement,moto,femme,five,gant,gt2;;;;five-gt2-wp-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
1638;;Five Sportcity Woman Handschuhe;;;;;;;;;;FI80SPCB;;;;;;;;;;;;;;;;;<p><strong>SPORTCITY WOMAN </strong>(PPE homologiert)</p> <p>Eingebauter einteiliger PU Handrücken- und Handballenschutz, sowie das perforierte narbenfreie Rindsleder sorgen bei Sportcity für exzellenten Tragkomfort und viel Fahrspaß sei es auf einem Roller, Cruiser oder Roadster Motorrad.</p>;"<p><strong><span>SPORTCITY WOMAN </span></strong><span>(PPE homologiert)</span></p> <p><span>Eingebauter einteiliger PU Handrücken- und Handballenschutz, sowie das perforierte narbenfreie Rindsleder sorgen bei Sportcity für exzellenten Tragkomfort und viel Fahrspaß sei es auf einem Roller, Cruiser oder Roadster Motorrad. </span></p> <p><span>2014 wurde der Sportcity zudem vom renommierten französischen Motorradmagazine ,,Moto Magazine"" mit dem besten technischen Testresultat (9 aus 10) ausgezeichnet.  </span></p> <p><span>Ein eleganter in verschiedenen Farbkombinationen lieferbarer Sicherheitshandschuh mit einem ausgezeichneten Preis / Leistungsverhältnis. </span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TN3wA47r1RY"" frameborder=""0"" allowfullscreen></iframe></p>";suisse,Frau,Motorrad,schwarz,Handschuhe,schweiz,schweuz;;;;five-sportcity-woman-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
12375;;Five Stockholm WP Handschuhe;;;;;;;;;;FI20STOCKB;;;;;;;;;;;;;;;;;;"<p><span><strong>Kurzer wasserdichter und sicherheitsorientierter Handschuh für kalte Tage.</strong></span><span> </span><br /><span>Idealer Motorradhandschuh für die Herbst- und Frühlingsausfahrten. 100% Wasserdichte und atmungsaktive </span><span>Hipora</span><span> </span><span><strong>®</strong></span><span>Membrane und 180g Thinsulate(TM) für mehr Wärme wenn die Temperaturen wieder sinken. </span><br /><br /><span>PU-Protektoren über Handrücken und Handballen, verstärkte Handfläche aus Leder für optimale Griffkontrolle </span><span>sowie reflektierende Scotchlite(TM) Einsätze für eine aktive Sicherheit. </span><br /><span>Vorgeformte Finger &amp; Passform, Velcro</span><span> </span><span><strong>®</strong></span><span>über Handgelenk sowie Bundabschluss garantieren für den legendären </span><span>Five Tragkomfort. </span><br /><span>Der Stockholm Handschuh ist der Topseller im 2015 FIVE Winterprogram. </span><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/V6UgcsOHeR0"" frameborder=""0"" allowfullscreen></iframe></p>";Leder,Winter,Handschuhe,schweiz,genf,five,st-gallen,thinsulate;;handschuhe,five,stockholm,leder,winter,schweiz;handschuhe für motorrader;five-stockholm-wp-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
12376;;Five HG1 BEHEIZBARE HANDSCHUHE;;;;;;;;;;FI70HG1BL;;;;;;;;;;;;;;;;;<p><strong>Handschuh für den kalten Winter mit integrierter 3-Stufen-Heizung!</strong> </p>;<h2><span><strong>Handschuh für den kalten Winter mit integrierter 3-Stufen-Heizung!</strong></span><span> </span><br /><span></span></h2> <h5><span>Um gewissenhaft in die Wintersaison zu starten. </span></h5> <ul><li>Hipora®, atmungsaktive und wasserdichte Membrane.</li> <li>200g Thinsulate(TM)Innenfutter.</li> <li>Wärmedämmstoffe, um die Wärme im Handschuh zu halten.</li> <li>Kontrollschalter für 3 Heizunglevels mit bis zu 3 1/2h Laufzeit.</li> <li>Zipper-Gelenkverschluss für einfaches An- und Ausziehen.</li> <li>Eingebauter einteiliger Handrückenschutz. Pittard(TM) Handfläche, Zeige- und Mittelfinger Verstärkung für einen besseren Halt der Griffe bei nassem Wetter.</li> <li>Reflektierendes-Logo und Streifen für bessere Sichtbarkeit und mehr Sicherheit. Der HG1 sorgt auch bei Langstreckenfahrten im Winter für warme Hände. </li> </ul>;Motorrad,schwarz,schweiz,genf,five,hanschuhe,parts,saint-gallen;;;;gant-chauffant-five-hg1-;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80942;;Five Stunt Leather Handschuhe;;;;;;;;;;FI50STLEBR;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-leather-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80943;;Five Stunt Leather Handschuhe;;;;;;;;;;FI50STLEFL;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-leather-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
80944;;Five Stunt Replica Evo Handschuhe;;;;;;;;;;FI50STRPARM;;;;;;;;;;;;;;;;;<h2></h2>;"<p><span>Oft kopiert aber auch heute immer noch unerreicht von Mitbewerber. Der Stunt Handschuhe hatte vor 8 Jahren eine neue Ära eingeläutet, was Tragkomfort und Sicherheit betrifft. Hergestellt aus narbenfreiem Rindsleder, inklusive 3-teiliger PU Handrücken Protektor mit integriertem Belüftungssystem und doppelt verstärkter Innenhand. Der Stunt ist perfekt zu Hause auf jedem Motorrad- und Rollertyp</span></p> <p><span>Schlichthin der Klassiker im Five Programm.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8pMfMxPXtA"" frameborder=""0"" allowfullscreen></iframe></p>";2016,nouveauté,Stunt,five,gant,leather,cuir,été;;;handschuhe, five, stunt, ;five-stunt-replica-evo-handschuhe;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;;;
